Latitude,Longitude,Detail,DCA License Number,License Type,License Expiration Date,License Category,Business Name,Business Name 2,Address Building,Address Street Name,Secondary Address Street Name,Address City,Address State,Address ZIP,Contact Phone Number,Address Borough
40.755864,-73.9684704,"Vehicle Spaces: 15, Bicycle Spaces: 0",2065872-DCA,Business,03/31/2019,Garage,PARK AMERICA CORP,,351,E 51ST ST,,NEW YORK,NY,10022,2124866888,Manhattan
40.8633403,-73.9000659,"Vehicle Spaces: 998, Bicycle Spaces: 28",2065563-DCA,Business,03/20/2018,Garage,PARKING SYSTEMS PLUS INC,,280,BAYCHESTER AVE,,BRONX,NY,10475,8009441424,Bronx
40.8633403,-73.9000659,"Vehicle Spaces: 1160, Bicycle Spaces: 30",2065561-DCA,Business,03/15/2018,Garage and Parking Lot,PARKING SYSTEMS PLUS INC,,260,BAYCHESTER AVE,,BRONX,NY,10475,8009441424,Bronx
40.781599,-73.959929,"Vehicle Spaces: 49, Bicycle Spaces: 0",2065381-DCA,Business,03/31/2019,Garage,1050 FIFTH AVENUE PARKING CORP,,1050,5TH AVE,,NEW YORK,NY,10028,,Manhattan
40.7702286,-73.8698327,"Vehicle Spaces: 68, Bicycle Spaces: 10",2065205-DCA,Business,03/31/2019,Garage,PARK 'N GO USA LLC,,340,PENNSYLVANIA AVE,,BROOKLYN,NY,11207,3476975154,Brooklyn
40.77521,-73.95405,"Vehicle Spaces: 48, Bicycle Spaces: 0",2065046-DCA,Business,03/31/2019,Garage,DELTA PARK INC,,240,E 82ND ST,,NEW YORK,NY,10028,929-340-4785,Manhattan
40.8045168,-73.9359133,"Vehicle Spaces: 190, Bicycle Spaces: 19",2064837-DCA,Business,03/31/2019,Garage and Parking Lot,MP 126 LLC,,163,E 125TH ST,,NEW YORK,NY,10035,2124903460,Manhattan
40.7502732,-73.9426085,"Vehicle Spaces: 71, Bicycle Spaces: 10",2064520-DCA,Business,03/31/2019,Garage,MBA PARKING CORP,,2702,QUEENS PLZ S,,LONG ISLAND CITY,NY,11101,718-864-2992,Queens
40.8267331,-73.9261997,"Vehicle Spaces: 150, Bicycle Spaces: 15",2064517-DCA,Business,03/31/2019,Garage and Parking Lot,158TH NY CORP,,85,E 158TH ST,,BRONX,NY,10451,7189938026,Bronx
40.782172,-73.827416,"Vehicle Spaces: 78, Bicycle Spaces: 8",2064267-DCA,Business,03/31/2019,Garage,ONE EASY PARK INC,,1802,PETRACCA PL,,WHITESTONE,NY,11357,9174008562,Queens
